tau,precision_drowsy_motorway,recall_drowsy_motorway,macro_f1_overall
0.3,0.5713235294117647,0.6395061728395062,0.6432909278531619
0.32,0.6006493506493507,0.6090534979423868,0.6473598316600279
0.34,0.630259623992838,0.5794238683127572,0.6500615309854627
0.36000000000000004,0.6533864541832669,0.5399176954732511,0.6495518700041124
0.38000000000000006,0.6790393013100436,0.5119341563786008,0.6501960648431236
0.4000000000000001,0.6863425925925926,0.48806584362139915,0.6478637500035246
0.4200000000000001,0.6954933008526187,0.4699588477366255,0.6463971001866823
0.4400000000000001,0.7021276595744681,0.4617283950617284,0.646031238350724
0.46000000000000013,0.7026683608640406,0.4551440329218107,0.6451078303020569
0.48000000000000015,0.7033248081841432,0.45267489711934156,0.6447130534692728
0.5000000000000002,0.7025641025641025,0.4510288065843621,0.6443539775665647
0.5200000000000002,0.7025641025641025,0.4510288065843621,0.6443539775665647
0.5400000000000003,0.7025641025641025,0.4510288065843621,0.6443539775665647
0.5600000000000003,0.7025641025641025,0.4510288065843621,0.6443539775665647
0.5800000000000003,0.7025641025641025,0.4510288065843621,0.6443539775665647
0.6000000000000003,0.7025641025641025,0.4510288065843621,0.6443539775665647
0.6200000000000003,0.7025641025641025,0.4510288065843621,0.6443539775665647
0.6400000000000003,0.7025641025641025,0.4510288065843621,0.6443539775665647
0.6600000000000004,0.7025641025641025,0.4510288065843621,0.6443539775665647
0.6800000000000004,0.7025641025641025,0.4510288065843621,0.6443539775665647
0.7000000000000004,0.7025641025641025,0.4510288065843621,0.6443539775665647
0.7200000000000004,0.7025641025641025,0.4510288065843621,0.6443539775665647
0.7400000000000004,0.7025641025641025,0.4510288065843621,0.6443539775665647
0.7600000000000005,0.7025641025641025,0.4510288065843621,0.6443539775665647
0.7800000000000005,0.7025641025641025,0.4510288065843621,0.6443539775665647
0.8000000000000005,0.7025641025641025,0.4510288065843621,0.6443539775665647
