,pred_aggressive,pred_drowsy,pred_normal
true_aggressive,0.6969397828232972,0.10760118460019744,0.19545903257650543
true_drowsy,0.12098765432098765,0.46255144032921813,0.41646090534979424
true_normal,0.11868910540301152,0.11514614703277236,0.7661647475642162
