recall,precision
1.0,0.25578034682080925
1.0,0.25586251204625765
1.0,0.25598585891049336
1.0,0.25615050651230103
1.0,0.25648043793270003
1.0,0.25685262818445664
1.0,0.25705986767790867
1.0,0.2577252871703608
0.9993722536095417,0.25810635538262
0.9993722536095417,0.25894599869876384
0.9993722536095417,0.25987593862226577
0.9981167608286252,0.2605703048180924
0.997489014438167,0.26126274251890824
0.997489014438167,0.26281839232550447
0.9962335216572504,0.2635337097309864
0.9956057752667922,0.2645537948290242
0.9937225360954175,0.2654704008049639
0.9937225360954175,0.2669477234401349
0.9930947897049592,0.26854523849940587
0.9930947897049592,0.2701502732240437
0.992467043314501,0.2715095311695003
0.9912115505335845,0.27299446749654216
0.9899560577526679,0.2740702120264164
0.9893283113622097,0.2751396648044693
0.9887005649717514,0.2766555418935535
0.9880728185812931,0.2781410143134829
0.9874450721908349,0.2797936677339025
0.9868173258003766,0.2815186246418338
0.9868173258003766,0.282886449523124
0.9843063402385436,0.28436706565107
0.9830508474576272,0.2857664233576642
0.9817953546767106,0.2864993588569335
0.9805398618957941,0.28782015846692466
0.9805398618957941,0.28974216286403265
0.9792843691148776,0.291044776119403
0.9786566227244193,0.2927149831017649
0.9767733835530445,0.29430679024021184
0.9748901443816698,0.29614797864225784
0.9742623979912115,0.2976601457614116
0.970495919648462,0.29857087678640404
0.9698681732580038,0.30023319082782746
0.967984934086629,0.30164319248826293
0.9642184557438794,0.3024812918471839
0.9635907093534212,0.30408082408874804
0.9629629629629629,0.3060043885896669
0.9617074701820465,0.3076305220883534
0.9610797237915882,0.3091680129240711
0.9585687382297552,0.31074481074481075
0.9579409918392969,0.31257681278164684
0.9566854990583804,0.3133867982726712
0.9554300062774639,0.31478800413650465
0.9554300062774639,0.31681931723563694
0.9548022598870056,0.3179347826086957
0.9529190207156308,0.31904161412358134
0.9485247959824231,0.319923777260216
0.9478970495919649,0.32223644899701237
0.9460138104205901,0.32380747743876237
0.9441305712492153,0.3250486276204884
0.9428750784682988,0.3266637668551544
0.9409918392969241,0.3280805427883563
0.9397363465160076,0.32995371390786865
0.938480853735091,0.33155910401419386
0.9378531073446328,0.3331103678929766
0.935969868173258,0.3344549125168237
0.9353421217827997,0.3364190562203658
0.9328311362209667,0.3383424408014572
0.9322033898305084,0.34075263882514917
0.9303201506591338,0.34345307068366165
0.9303201506591338,0.3463426034120122
0.9296924042686755,0.3483886144436603
0.9290646578782172,0.3504617570447549
0.9246704331450094,0.35289889793962625
0.9240426867545511,0.3551266586248492
0.9209039548022598,0.35650060753341434
0.9196484620213434,0.3590686274509804
0.9190207156308852,0.36139224882745
0.9177652228499686,0.3646794711898229
0.9158819836785939,0.3669517102615694
0.9146264908976773,0.3700787401574803
0.9127432517263026,0.37177192533878806
0.9127432517263026,0.3747422680412371
0.9127432517263026,0.3772703684483653
0.911487758945386,0.37980643473711745
0.9108600125549278,0.38214379773505397
0.9083490269930948,0.38432934926958834
0.90646578782172,0.3859930499866346
0.903954802259887,0.3876177658142665
0.9026993094789705,0.3898075359175928
0.901443816698054,0.3914940021810251
0.9008160703075957,0.39390612132857533
0.8995605775266792,0.3959657363912683
0.8976773383553045,0.39678135405105436
0.8970495919648462,0.3989391401451703
0.8957940991839297,0.40106801573917933
0.8920276208411801,0.4026636440918107
0.8913998744507219,0.4066437571592211
0.8901443816698054,0.4097081768275065
0.8888888888888888,0.4116279069767442
0.8870056497175142,0.4137628111273792
0.8857501569365976,0.41573364761343545
0.8844946641556811,0.4192204700981851
0.8832391713747646,0.4227764423076923
0.8819836785938481,0.4254996971532405
0.8807281858129316,0.42826617826617824
0.8788449466415568,0.4295796256520405
0.8775894538606404,0.4309494451294698
0.874450721908349,0.43382123948925566
0.8706842435655995,0.4358893777498429
0.8700564971751412,0.43874643874643876
0.8688010043942247,0.4416081684747926
0.86691776522285,0.44305421880012835
0.8656622724419335,0.44469525959367945
0.8656622724419335,0.44743672939649576
0.864406779661017,0.4494125326370757
0.8631512868801005,0.451559934318555
0.8612680477087257,0.4534038334434898
0.8600125549278091,0.4571237904571238
0.8587570621468926,0.4613827993254637
0.8568738229755178,0.46412784767086024
0.8556183301946014,0.46582365003417636
0.8543628374136849,0.4676975945017182
0.8524795982423101,0.4700588438906196
0.8512241054613936,0.47263855001742766
0.8499686126804771,0.4750877192982456
0.8487131198995606,0.4775697633345108
0.8462021343377275,0.48005698005698005
0.8455743879472694,0.4821045096635648
0.8455743879472694,0.48523054755043227
0.8436911487758946,0.4866039102099928
0.8418079096045198,0.4895947426067908
0.8405524168236033,0.49209849320102905
0.8361581920903954,0.4936990363232024
0.8342749529190208,0.49534103615355946
0.832391713747646,0.4968152866242038
0.8311362209667295,0.5009458948164964
0.8292529817953547,0.5022813688212928
0.8286252354048964,0.5042016806722689
0.8273697426239799,0.5065334358186011
0.8254865034526051,0.5090979481223383
0.8236032642812304,0.5115009746588693
0.8223477715003139,0.5145326001571092
0.8198367859384809,0.5180483934946449
0.8185812931575643,0.5209748302037555
0.8160703075957313,0.5235602094240838
0.8148148148148148,0.5255060728744939
0.8129315756434401,0.5274949083503055
0.8110483364720653,0.5292912740680049
0.8091650973006905,0.5326446280991736
0.8085373509102323,0.5359966708281315
0.8060263653483992,0.5379136992040218
0.8041431261770244,0.5391414141414141
0.8022598870056498,0.5412960609911055
0.800376647834275,0.5434782608695652
0.7978656622724419,0.5459621993127147
0.7947269303201506,0.548051948051948
0.7934714375392341,0.5502829777971266
0.7915881983678594,0.5528277071459886
0.7890772128060264,0.5547219770520742
